Date,WIP,,Date,,,,date,all_wpd,,Date,,,Date,WIP,MOVE,,Date,WIP,MOVE
2022/1/15,25,,2022/2/8,,,,2021/9/14,5323,,2022/2/8,,,2022/3/2,0,13463,,2022/3/2,15580,13463
2022/1/15,0,,2022/2/9,,,,2021/9/14,0,,2022/2/9,,,2022/3/3,10352,5620,,2022/3/3,10352,5620
2022/1/15,183,,2022/2/10,,,,2021/9/14,5267,,2022/2/10,,,2022/3/4,0,0,,2022/3/4,10352,5620
2022/1/15,25,,2022/2/11,,,,2021/9/14,0,,2022/2/11,,,2022/3/5,31546,15829,,2022/3/5,31546,15829
2022/1/15,762,,2022/2/12,,,,2022/1/7,5033,,2022/2/12,,,2022/3/6,5764,4395,,2022/3/6,5764,4395
2022/1/15,0,,2022/2/13,,,,2021/9/21,5574,,2022/2/13,,,2022/3/7,42597,11341,,2022/3/7,42597,11341
2022/1/15,25,,2022/2/14,,,,2021/9/21,3856,,2022/2/14,,,2022/3/8,7924,0,,2022/3/8,7924,11341
2022/1/15,175,,2022/2/15,,,,2021/9/7,5911,,2022/2/15,,,2022/3/9,10921,9821,,2022/3/9,10921,9821
2021/9/15,0,,2022/2/16,,,,2021/9/7,0,,2022/2/16,,,2022/3/10,17270,25283,,2022/3/10,17270,25283
2021/9/15,0,,2022/2/17,,,,2021/11/13,5603,,2022/2/17,,,2022/3/11,17560,0,,2022/3/11,17560,25283
2021/9/15,494,,2022/2/18,,,,2021/11/13,5608,,2022/2/18,,,2022/3/12,20954,14154,,2022/3/12,20954,14154
2021/9/15,815,,2022/2/19,,,,2021/9/17,5822,,2022/2/19,,,2022/3/13,7203,0,,2022/3/13,7203,14154
2021/9/15,275,,2022/2/20,,,,2021/9/17,0,,2022/2/20,,,2022/3/14,12926,10593,,2022/3/14,12926,10593
2021/9/15,0,,2022/2/21,,,,2021/10/16,5205,,2022/2/21,,,2022/3/15,10101,1667,,2022/3/15,10101,1667
2021/9/15,3058,,2022/2/22,,,,2021/10/16,4280,,2022/2/22,,,2022/3/16,14197,8921,,2022/3/16,14197,8921
