date,all_wpd,,,move,,Date,WIP,,,WIP,,DATE,move,WIP
2022/4/19,1032,,2022/3/21,18119,,2022/5/23,846,,2022/3/21,3918,,2022/3/21,18119,3918
2022/4/19,5030,,2022/3/22,11107,,2022/5/23,400,,2022/3/22,1855,,2022/3/22,11107,1855
2022/4/19,4630,,2022/3/23,7842,,2021/9/30,25,,2022/3/23,2610,,2022/3/23,7842,2610
2022/6/11,5787,,2022/3/24,16232,,2021/9/30,31,,2022/3/24,3416,,2022/3/24,16232,3416
2022/5/9,5751,,2022/3/25,17519,,2021/9/30,175,,2022/3/25,12570,,2022/3/25,17519,12570
2022/5/9,5728,,2022/3/26,5211,,2021/9/30,596,,2022/3/26,7436,,2022/3/26,5211,7436
2022/5/9,4075,,2022/3/27,8905,,2021/9/30,691,,2022/3/27,5586,,2022/3/27,8905,5586
2022/5/9,4708,,2022/3/28,11606,,2021/9/30,369,,2022/3/28,2844,,2022/3/28,11606,2844
2022/7/25,5848,,2022/3/29,16824,,2022/1/7,323,,2022/3/29,2493,,2022/3/29,16824,2493
2022/7/25,6125,,2022/3/30,26038,,2022/1/7,0,,2022/3/30,12112,,2022/3/30,26038,12112
2021/12/9,6011,,2022/3/31,20504,,2022/1/7,100,,2022/3/31,5175,,2022/3/31,20504,5175
2021/12/9,0,,2022/4/1,15272,,2022/1/7,0,,2022/4/1,6709,,2022/4/1,15272,6709
2021/12/9,4738,,2022/4/2,25058,,2022/1/7,125,,2022/4/2,1608,,2022/4/2,25058,1608
2021/12/9,6252,,2022/4/3,26613,,2022/1/7,125,,2022/4/3,3637,,2022/4/3,26613,3637
2022/4/22,4207,,2022/4/4,15746,,2022/1/7,0,,2022/4/4,6980,,2022/4/4,15746,6980
2022/4/22,5549,,2022/4/5,15991,,2022/1/7,8,,2022/4/5,2871,,2022/4/5,15991,2871
2022/4/22,5786,,2022/4/6,3466,,2022/8/3,71,,2022/4/6,4824,,2022/4/6,3466,4824
2022/4/22,3757,,2022/4/7,12458,,2022/8/3,821,,2022/4/7,4453,,2022/4/7,12458,4453
2022/6/29,0,,2022/4/8,17886,,2022/1/26,0,,2022/4/8,6365,,2022/4/8,17886,6365
2022/6/29,5421,,2022/4/9,14915,,2022/2/5,100,,2022/4/9,283,,2022/4/9,14915,283
2021/10/5,5762,,2022/4/10,16013,,2022/2/5,638,,2022/4/10,3117,,2022/4/10,16013,3117
2021/10/5,5041,,2022/4/11,13135,,2022/2/5,75,,2022/4/11,0,,2022/4/11,13135,0
2021/10/5,6023,,2022/4/12,9703,,2022/2/5,100,,2022/4/12,1685,,2022/4/12,9703,1685
2022/6/15,5435,,2022/4/13,0,,2022/2/5,152,,2022/4/13,2930,,2022/4/13,0,2930
2022/6/15,5626,,2022/4/14,11069,,2022/5/23,150,,2022/4/14,16647,,2022/4/14,11069,16647
